,Model name,Method,N,Test,Train,Train-Test
115,LightGBM,median_from_ridge,95,0.11223037854487139,0.09938960766387331,-0.012840770880998081
136,Stack1,median_from_ridge,95,0.11275531194864999,0.08348152495975275,-0.029273786988897238
142,Stack1,default_ridge,95,0.11307138073533027,0.08256399711081094,-0.030507383624519324
10,Ridge,median_from_ridge,95,0.11385624120335129,0.10709469665455498,-0.006761544548796308
16,Ridge,default_ridge,95,0.11385624120335129,0.10709469665455498,-0.006761544548796308
73,Elastic Net,median_from_ridge,95,0.11390249611455001,0.10616232730480049,-0.007740168809749523
79,Elastic Net,default_ridge,95,0.11390249611455001,0.10616232730480049,-0.007740168809749523
31,Lasso,median_from_ridge,95,0.11397092518800926,0.10599693701127018,-0.007973988176739083
37,Lasso,default_ridge,95,0.11397092518800926,0.10599693701127018,-0.007973988176739083
58,SVR,default_ridge,95,0.1140176176623647,0.105079243502842,-0.0089383741595227
52,SVR,median_from_ridge,95,0.1140176176623647,0.105079243502842,-0.0089383741595227
97,XGB,mean_from_ridge,62,0.1228248483177254,0.09624797062211522,-0.02657687769561018
118,LightGBM,mean_from_ridge,62,0.12463992867298188,0.11420273268003674,-0.010437195992945139
76,Elastic Net,mean_from_ridge,62,0.1260710543386788,0.11950328364095897,-0.006567770697719827
34,Lasso,mean_from_ridge,62,0.12617546617839892,0.11942246125219665,-0.0067530049262022745
13,Ridge,mean_from_ridge,62,0.1264026955793291,0.12112684815610471,-0.005275847423224386
160,Stack2,mean_from_ridge,62,0.12682582272617945,0.09890235112713106,-0.0279234715990484
98,XGB,mean_from_lasso,47,0.126875135867341,0.10275261176958439,-0.024122524097756615
139,Stack1,mean_from_ridge,62,0.1275243081883424,0.09989317698798347,-0.027631131200358927
55,SVR,mean_from_ridge,62,0.12757434957956412,0.11985257799259205,-0.0077217715869720704
140,Stack1,mean_from_lasso,47,0.128808855542701,0.10650435945672894,-0.022304496085972056
119,LightGBM,mean_from_lasso,47,0.12885031361396454,0.11991514511705988,-0.008935168496904664
35,Lasso,mean_from_lasso,47,0.12899202082456812,0.12314649808990075,-0.005845522734667374
77,Elastic Net,mean_from_lasso,47,0.12909692907840342,0.12315584393110235,-0.005941085147301073
14,Ridge,mean_from_lasso,47,0.12941527883803863,0.12482488189880563,-0.004590396939233007
161,Stack2,mean_from_lasso,47,0.1298630222639918,0.10460913977928263,-0.025253882484709167
56,SVR,mean_from_lasso,47,0.1307616962452404,0.12433005908778363,-0.00643163715745676
99,XGB,mean_from_elasticnet,47,0.13552532271213344,0.11060348740561174,-0.0249218353065217
78,Elastic Net,mean_from_elasticnet,47,0.13608193211434666,0.13026759616736266,-0.005814335946983995
36,Lasso,mean_from_elasticnet,47,0.13610347987754304,0.1303245517421314,-0.005778928135411643
15,Ridge,mean_from_elasticnet,47,0.13658366071782976,0.1322461098890349,-0.004337550828794862
141,Stack1,mean_from_elasticnet,47,0.13679727030340433,0.11408427562877219,-0.022712994674632142
120,LightGBM,mean_from_elasticnet,47,0.13681994493585542,0.12818966547081567,-0.008630279465039747
57,SVR,mean_from_elasticnet,47,0.13734328293787482,0.1314531506232588,-0.00589013231461602
162,Stack2,mean_from_elasticnet,47,0.13755464407607895,0.11280293981574319,-0.024751704260335766
